congress,citation,description,organization,received_date,is_civilian,status,status_date,url
119,PN620,,Coast Guard,2025-10-23,True,Confirmed by the Senate by Voice Vote.,2026-02-12,https://api.congress.gov/v3/nomination/119/620?format=json
119,PN730-62,"Robert Sweeney, of Texas, to be United States Director of the Asian Development Bank, with the rank of Ambassador, vice Chantale Yokmin Wong, resigned.",Asian Development Bank,2026-01-13,True,Committee on Foreign Relations. Hearings held.,2026-02-12,https://api.congress.gov/v3/nomination/119/730-62?format=json
119,PN730-12,"Wesley Brooks, of Florida, to be Assistant Secretary of State for Oceans and International Environmental and Scientific Affairs, vice Monica P. Medina, resigned.",Department of State,2026-01-13,True,Committee on Foreign Relations. Hearings held.,2026-02-12,https://api.congress.gov/v3/nomination/119/730-12?format=json
119,PN806-5,"Kevin Lilly, of Texas, to be Assistant Secretary for Fish and Wildlife, vice Shannon Aneal Estenoz, resigned.",Department of the Interior,2026-02-11,True,Referred jointly to the Committee on Energy and Natural Resources; Environment and Public Works by unanimous consent.,2026-02-12,https://api.congress.gov/v3/nomination/119/806-5?format=json
119,PN730-43,"William Long, of Missouri, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Iceland.",Department of State,2026-01-13,True,Committee on Foreign Relations. Hearings held.,2026-02-12,https://api.congress.gov/v3/nomination/119/730-43?format=json
119,PN730-13,"Jeremy Carl, of Montana, to be an Assistant Secretary of State (International Organizations), vice Michele Jeanne Sison.",Department of State,2026-01-13,True,Committee on Foreign Relations. Hearings held.,2026-02-12,https://api.congress.gov/v3/nomination/119/730-13?format=json
119,PN808,,Air Force,2026-02-11,True,Received in the Senate and referred to the Committee on Armed Services.,2026-02-11,https://api.congress.gov/v3/nomination/119/808?format=json
119,PN813,,Air Force,2026-02-11,True,Received in the Senate and referred to the Committee on Armed Services.,2026-02-11,https://api.congress.gov/v3/nomination/119/813?format=json
119,PN806-4,"Steven Lewis, of Missouri, to be United States Marshal for the Eastern District of Missouri, for the term of four years, vice John D. Jordan, term expired.",Department of Justice,2026-02-11,True,Received in the Senate and referred to the Committee on the Judiciary.,2026-02-11,https://api.congress.gov/v3/nomination/119/806-4?format=json
119,PN806-6,"Asel Roberts, of Virginia, to be Ambassador Extraordinary and Plenipotentiary of the United States of America to the Republic of Slovenia.",Department of State,2026-02-11,True,Received in the Senate and referred to the Committee on Foreign Relations.,2026-02-11,https://api.congress.gov/v3/nomination/119/806-6?format=json
119,PN806-3,"Kyle Haustveit, of North Dakota, to be Under Secretary of Energy, vice Preston Griffith, resigned.",Department of Energy,2026-02-11,True,Received in the Senate and referred to the Committee on Energy and Natural Resources.,2026-02-11,https://api.congress.gov/v3/nomination/119/806-3?format=json
119,PN806-8,"Scott Socha, of New York, to be Director of the National Park Service, vice Charles F. Sams III, resigned.",Department of the Interior,2026-02-11,True,Received in the Senate and referred to the Committee on Energy and Natural Resources.,2026-02-11,https://api.congress.gov/v3/nomination/119/806-8?format=json
119,PN806-2,"William Hague, of Washington, to be an Assistant Secretary of the Interior, vice Carmen G. Cantor, resigned.",Department of the Interior,2026-02-11,True,Received in the Senate and referred to the Committee on Energy and Natural Resources.,2026-02-11,https://api.congress.gov/v3/nomination/119/806-2?format=json
119,PN806-9,"Todd Steggerda, of Virginia, to be Representative of the United States of America to the Office of the United Nations and Other International Organizations in Geneva, with the rank of Ambassador.",Department of State,2026-02-11,True,Received in the Senate and referred to the Committee on Foreign Relations.,2026-02-11,https://api.congress.gov/v3/nomination/119/806-9?format=json
119,PN815,,Air Force,2026-02-11,True,Received in the Senate and referred to the Committee on Armed Services.,2026-02-11,https://api.congress.gov/v3/nomination/119/815?format=json
119,PN816,,Air Force,2026-02-11,True,Received in the Senate and referred to the Committee on Armed Services.,2026-02-11,https://api.congress.gov/v3/nomination/119/816?format=json
119,PN809,,Air Force,2026-02-11,True,Received in the Senate and referred to the Committee on Armed Services.,2026-02-11,https://api.congress.gov/v3/nomination/119/809?format=json
